timestamp,Incident ID,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Actor type,Actor name,Details,Verified,Source,coordinate
1997-09-24T00:00:00Z,22,Ethiopia,Ogaden,,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting,Individual attack,Unknown,8.53056,44.795,Unknown,Unknown,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,Archived,Archived,"POINT(8.530560000000001,44.795)"
1998-06-25T00:00:00Z,47,Ethiopia,Somali,,travelling from Gode to Degeh Bur,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,1,0,5,Kidnapping,Ambush,Road,7,44,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation.",Archived,Archived,"POINT(7.0,44.0)"
1999-04-01T00:00:00Z,73,Ethiopia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,1 INGO international (French) staff kidnapped and later released,Archived,Archived,"POINT(9.145,40.489672999999996)"
2000-02-01T00:00:00Z,103,Ethiopia,,,,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,Unknown,Ambush,Unknown,9.145,40.489673,Unknown,Unknown,1 INGO national staff killed and 1 international staff wounded when vehicle ambushed.,Archived,Archived,"POINT(9.145,40.489672999999996)"
2006-09-20T00:00:00Z,475,Ethiopia,,,,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,"2 ICRC (1 international [Irish], 1 national) staff kidnapped, Sept 18; released unharmed on Sept 23.",Archived,Archived,"POINT(9.145,40.489672999999996)"
2008-01-01T00:00:00Z,782,Ethiopia,,,,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Landmine ,Ambush,Road,9.145,40.489673,Unknown,Unknown,Three national staff of a local partner organization of an INGO were killed in a mine incident returning from an area they worked under a sub-grant.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2008-07-01T00:00:00Z,793,Ethiopia,,,"Road, between Dire Dawa and Addis Ababa",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,9.02497,38.74689,Unknown,Unknown,"1 UN national staff in Ethiopia was shot and injured by armed robbers on the road between Dire Dawa and Addis Ababa, while travelling on private business , 1 July 2008.",Yes,Focal Point,"POINT(9.02497,38.74689)"
2009-03-01T00:00:00Z,942,Ethiopia,Gode,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Bodily assault,Mob violence,Unknown,5.9526975,43.5522312,Unknown,Unknown,1 UN national staff injured when her vehicle was attacked by civilians thowing stones.,Yes,Focal Point,"POINT(5.9526975,43.5522312)"
2010-01-03T00:00:00Z,964,Ethiopia,Gode,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Detention,Unknown,5.9526975,43.5522312,Host State,Ethiopian Defence Forces,1 UN national staff injured when physically assaulted by EDF military forces for carrying a VHF radio.,Yes,Focal Point,"POINT(5.9526975,43.5522312)"
2010-03-23T00:00:00Z,1069,Ethiopia,Oromiya,,Rayitu,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Unknown,Mob violence,Road,8,39,Unaffiliated,Oromo clan ,A convoy of contracted trucks was attacked with rudimentary weapons by the Oromo clan and food looted while on the road through Oromo territory; two drivers were slightly injured.,Yes,Focal Point,"POINT(8.0,39.0)"
2010-06-18T00:00:00Z,1060,Ethiopia,Somali ,,Gerbo,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,7,44,Non-state armed group: National,Ogaden National Liberation Front (ONLF),Staff member (driver) was shot and injured in a cross fire between rebel Ogaden National Liberation Front (ONLF) fighters and Ethiopian Defence Forces (EDF).,Yes,Focal Point,"POINT(7.0,44.0)"
2011-05-13T00:00:00Z,1102,Ethiopia,Ogaden,,Near Jijiga,4,0,0,0,0,0,1,1,2,4,0,0,0,0,1,1,2,4,1,0,3,Kidnapping,Ambush,Unknown,8.53056,44.795,Unknown,Unknown,"One UN driver was killed, another staff wounded, and two staff captured when their UN agency vehicle was attacked by gunmen, in an area where pro-government forces are engaged in counter-insurgency operations against the ONLF. Each side blamed the other for the attack. UPDATE: the 2 kidnapped individuals were released on 30 June.",Pending,Media,"POINT(8.530560000000001,44.795)"
2011-08-05T00:00:00Z,1281,Ethiopia,Somali,Ethiopia,Kebridehar,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Other Explosives,Raid,Public location,6.74,44.27806,Unknown,Unknown,A UN national staff member was injured in a grenade attack in a restaurant in Kebridehar.,Pending,Archived,"POINT(6.74,44.278059999999996)"
2012-10-28T00:00:00Z,1479,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Bodily assault,Individual attack,Unknown,9.145,40.489673,Unknown,Unknown,One national INGO staff member was assaulted by a gang armed with crude weapons.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2013-07-22T00:00:00Z,1713,Ethiopia,Somali ,,"Ogaden, Degehabur",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Public location,8.218894,43.557972,Non-state armed group: Unknown,Not applicable,One UN-contracted warehouse worker was shot and killed by armed men suspected to be part of an insurgent group.,Yes,Focal Point,"POINT(8.218894,43.557972)"
2013-10-29T00:00:00Z,1689,Ethiopia,Somali ,,Boqolmayo,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Unknown,4.482944,41.664859,Non-state armed group: Unknown,Not applicable,One INGO staff member was abducted and very severely beaten by three armed militia men. The attack may be related to tribal politics.,Yes,Focal Point,"POINT(4.482944,41.664859)"
2014-06-09T00:00:00Z,1931,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Unknown,Unknown,Unknown,9.145,40.489673,Non-state armed group: Unknown,Not applicable,IED attack. The attack wounded one male national staff worker. No further information is available.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2014-08-07T00:00:00Z,1924,Ethiopia,Gambella,,"Camp, Kule refugee camp, 31 miles from Pagak",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Project site,8.466667,34.033333,Unknown,Unknown,"An INGO driver and two passengers in a water supply truck were attacked en-route within their project site when they stopped. A group of people on the road attacked them after an altercation, which resulted in the physical assault of the passenger. The driver and secondary passenger managed to run away with minor injuries (not counted here).",Yes,Focal Point,"POINT(8.466667,34.033333)"
2014-08-09T00:00:00Z,1923,Ethiopia,Gambella,,"Camp, Kule refugee camp, 31 miles from Pagak",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Project site,8.466667,34.033333,Unaffiliated,Youths,An INGO driver was assaulted by 5 youths after getting out of his truck to apologise for splashing someone when driving past.,Yes,Focal Point,"POINT(8.466667,34.033333)"
2014-12-11T00:00:00Z,1934,Ethiopia,,,Addis Ababa,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Bodily assault,Individual attack,Public location,8.980603,38.757761,Unknown,Unknown,Three assailants armed with stones attacked an international staff member and robbed him. The staff member was hospitalzed as a result of his injuries.,Yes,Focal Point,"POINT(8.980603,38.757761)"
2015-02-11T00:00:00Z,2143,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,"One INGO male national staff member was assaulted. The circumstances around this incident are unknown. However, the man suffered a concussion and an injury to his ear.",Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2015-09-28T00:00:00Z,2135,Ethiopia,Addis Ababa,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Bodily assault,Individual attack,Road,8.980603,38.757761,Unknown,Unknown,"An international staff member was attacked and hit with a stone on the head by two young men. He was rendered unconscious for a brief moment at which time the assailants stole his valuables. After returning to his guest house in the same area, the owner took him to the hospital where the wound on his head was stitched up. He remained in the hospital.",Yes,Focal Point,"POINT(8.980603,38.757761)"
2018-05-19T00:00:00Z,2692,Ethiopia,,,Gambela,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Bodily assault,Individual attack,Public location,8.25,34.583333,Staff member,Not applicable,"One male UN agency staff member was assualted and killed in Gambela around 9:00pm May 19, 2018. The staff member arrived in Gambela from Pugnido at 5:00pm and reportedly met friends and colleagues at a local hotel. Reports indicate the staff members body was found at 1:00am and cause of death determined to be a large head injury resulting in blood loss. Another UN agency staff member is in custody in relation to the death.",Yes,Focal Point,"POINT(8.25,34.583333)"
2018-06-25T00:00:00Z,2623,Ethiopia,Oromiya,Guji,Jelo,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,9.5,41.88333,Non-state armed group: Unknown,Not applicable,"A male staff member of an INGO was killed when the public transport bus he was riding on was shot at by armed attackers. A total of 26 people were on the bus, of which 3 were killed and others wounded.",Yes,Focal Point,"POINT(9.5,41.88333)"
2018-10-23T00:00:00Z,2641,Ethiopia,Oromo,Jijiga,Chinaksen,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Individual attack,Project site,9.5,42.7,Unknown,Unknown,One male national UN contracted driver was shot and seriously wounded while distributing food in an IDP camp in Chinaksen.,Yes,Focal Point,"POINT(9.5,42.7)"
2019-02-01T00:00:00Z,2952,Ethiopia,Addis Ababa,Addis Ababa,Addis Ababa,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Bodily assault,Individual attack,Public location,9.03,38.74,Unknown,Unknown,One international male INGO staff member was choked by a perpetrator on the street until he lost conciousness. He was then robbed of all belongings.,Yes,Focal Point,"POINT(9.03,38.74)"
2019-03-07T00:00:00Z,2916,Ethiopia,Tigray,Mi'irabawi,Shire,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Public location,14.1056708,38.2849463,Unknown,Unknown,"One male INGO national staff member was seriously injured when a group of four unknown perpetrators attacked him at a mini bus stop in Shire. The staff was assaulted and robbed, suffering a fractured hip among other injuries.",Yes,Focal Point,"POINT(14.105670800000002,38.2849463)"
2019-07-03T00:00:00Z,3006,Ethiopia,Oromiya,Addis Ababa,Alek,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Bodily assault,Individual attack,Public location,9.0249701,38.746891,Unaffiliated,Not applicable,"One female INGO national staff was assaulted by community members in Alek, Ethiopia.",Yes,Focal Point,"POINT(9.0249701,38.746891)"
2019-08-08T00:00:00Z,2895,Ethiopia,Gambella,Anuak,Gambella,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Mob violence,Project site,7.9219687,34.1531947,Unaffiliated,Not applicable,One male national INGO staff member was wounded when mob violence erupted at a project site in Gambella.,Yes,Focal Point,"POINT(7.921968700000001,34.15319470000001)"
2019-08-29T00:00:00Z,2896,Ethiopia,Gambella,Anuak,Gambella,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Bodily assault,Detention,Custody,7.9219687,34.1531947,Police or paramilitary,Police,Two male national staff members were assaulted by police officers after being stopped and temporarily detained on the road in Gambella.,Yes,Focal Point,"POINT(7.921968700000001,34.15319470000001)"
2019-09-05T00:00:00Z,2768,Ethiopia,Gambella ,Nguenyyiel,Nguenyyiel Refugee Camp,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shooting,Ambush,Road,8.308999,34.322233,Unknown,Unknown,Two INGO staff members were ambushed and killed by unknown perpetrators as they were in transit from the Nguenyyiel Refugee Camp. The aid workers were staff in a child nutrition center within the camp.,Yes,Media,"POINT(8.308999,34.322233000000004)"
2019-09-06T00:00:00Z,2897,Ethiopia,Gambella,Anuak,Gambella,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shooting,Ambush,Road,7.9219687,34.1531947,Host state,Ethiopian Armed Forces,Two male national INGO staff members were shot and killed after being ambushed by the Ethiopian Armed Forces on the road in Gambella.,Yes,Focal Point,"POINT(7.921968700000001,34.15319470000001)"
2019-10-22T00:00:00Z,2911,Ethiopia,Addis Ababa,Addis Ababa,Addis Ababa,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,1,1,0,Bodily assault,Individual attack,Public location,8.9806034,38.7577605,Criminal,Unknown,"Two female INGO international staff members walking back to their hotel from an event in Addis Ababa were attacked by four unknown criminal men and strangled until they were unconcious, where they were then robbed. Once the staff members gained conciousness they walked back to the hotel and reported the incident.",Yes,Focal Point,"POINT(8.9806034,38.757760499999996)"
2019-12-08T00:00:00Z,2997,Ethiopia,Oromiya,Nejo,Kutala Haro Kebele,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Home,9.5,35.5,Non-state armed group: Unknown,Not applicable,One INGO staff member was shot and killed in his home when local an unknown NSAG began firing in his community.,Yes,Focal Point,"POINT(9.5,35.5)"